n_epochs,losses,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20
30,0.729030311,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange,orange,orange
31,0.688773453,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange,orange,orange
32,0.648667574,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange,orange
33,0.609354258,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange,orange
34,0.570809662,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange
35,0.532999575,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange,orange
36,0.496541113,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange
37,0.461543322,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange,orange
38,0.427708983,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange
39,0.395579249,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,orange
40,0.365001708,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
41,0.336191654,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
42,0.308862954,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000,#CC0000
